"taxa","family","genus","lme","rank","survey"
"Gasterosteus aculeatus aculeatus","Gasterosteidae","Gasterosteus","23","Subspecies","BITS"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","23","Species","BITS"
"Solea solea","Soleidae","Solea","23","Species","BITS"
"Agonus cataphractus","Agonidae","Agonus","23","Species","BITS"
"Eutrigla gurnardus","Triglidae","Eutrigla","23","Species","BITS"
"Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","23","Species","BITS"
"Syngnathus","Syngnathidae","Syngnathus","23","Genus","BITS"
"Amblyraja radiata","Rajidae","Amblyraja","23","Species","BITS"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","22","Species","BITS"
"Cyclopterus lumpus","Cyclopteridae","Cyclopterus","22","Species","BITS"
"Salmo salar","Salmonidae","Salmo","23","Species","BITS"
"Callionymus","Callionymidae","Callionymus","23","Genus","BITS"
"Maurolicus muelleri","Sternoptychidae","Maurolicus","22","Species","BITS"
"Zoarcidae","Zoarcidae",NA,"23","Family","BITS"
"Myoxocephalus scorpius","Cottidae","Myoxocephalus","22","Species","BITS"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","22","Species","BITS"
"Scophthalmus rhombus","Scophthalmidae","Scophthalmus","22","Species","BITS"
"Trachinus draco","Trachinidae","Trachinus","22","Species","BITS"
"Trisopterus minutus","Gadidae","Trisopterus","22","Species","BITS"
"Trachurus trachurus","Carangidae","Trachurus","22","Species","BITS"
"Anarhichas lupus","Anarhichadidae","Anarhichas","22","Species","BITS"
"Lumpenus lampretaeformis","Stichaeidae","Lumpenus","22","Species","BITS"
"Arnoglossus laterna","Bothidae","Arnoglossus","22","Species","BITS"
"Buglossidium luteum","Soleidae","Buglossidium","22","Species","BITS"
"Agonus cataphractus","Agonidae","Agonus","22","Species","BITS"
"Zoarces viviparus","Zoarcidae","Zoarces","22","Species","BITS"
"Pholis gunnellus","Pholidae","Pholis","22","Species","BITS"
"Gaidropsarus vulgaris","Lotidae","Gaidropsarus","22","Species","BITS"
"Salmo trutta trutta","Salmonidae","Salmo","22","Subspecies","BITS"
"Pollachius virens","Gadidae","Pollachius","22","Species","BITS"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","22","Species","BITS"
"Molva molva","Lotidae","Molva","22","Species","BITS"
"Ammodytes marinus","Ammodytidae","Ammodytes","22","Species","BITS"
"Raja clavata","Rajidae","Raja","22","Species","BITS"
"Amblyraja radiata","Rajidae","Amblyraja","22","Species","BITS"
"Petromyzon marinus","Petromyzontidae","Petromyzon","22","Species","BITS"
"Scomber scombrus","Scombridae","Scomber","22","Species","BITS"
"Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","23","Species","BITS"
"Pholis gunnellus","Pholidae","Pholis","23","Species","BITS"
"Gobiidae","Gobiidae",NA,"23","Family","BITS"
"Spinachia spinachia","Gasterosteidae","Spinachia","23","Species","BITS"
"Labridae","Labridae",NA,"23","Family","BITS"
"Labridae","Labridae",NA,"22","Family","BITS"
"Ammodytes tobianus","Ammodytidae","Ammodytes","23","Species","BITS"
"Lophius piscatorius","Lophiidae","Lophius","22","Species","BITS"
"Sardina pilchardus","Clupeidae","Sardina","23","Species","BITS"
"Trachurus trachurus","Carangidae","Trachurus","23","Species","BITS"
"Engraulis encrasicolus","Engraulidae","Engraulis","23","Species","BITS"
"Alosa","Clupeidae","Alosa","23","Genus","BITS"
"Anguilla anguilla","Anguillidae","Anguilla","22","Species","BITS"
"Ammodytidae","Ammodytidae",NA,"22","Family","BITS"
"Engraulis encrasicolus","Engraulidae","Engraulis","22","Species","BITS"
"Pomatoschistus","Gobiidae","Pomatoschistus","22","Genus","BITS"
"Spinachia spinachia","Gasterosteidae","Spinachia","22","Species","BITS"
"Trachinus draco","Trachinidae","Trachinus","23","Species","BITS"
"Ammodytidae","Ammodytidae",NA,"23","Family","BITS"
"Syngnathidae","Syngnathidae",NA,"23","Family","BITS"
"Zoarces viviparus","Zoarcidae","Zoarces","23","Species","BITS"
"Mullus surmuletus","Mullidae","Mullus","22","Species","BITS"
"Brosme brosme","Lotidae","Brosme","22","Species","BITS"
"Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","22","Species","BITS"
"Pomatoschistus","Gobiidae","Pomatoschistus","23","Genus","BITS"
"Bothidae","Bothidae",NA,"23","Family","BITS"
"Gobiidae","Gobiidae",NA,"22","Family","BITS"
"Bothidae","Bothidae",NA,"22","Family","BITS"
"Ammodytes tobianus","Ammodytidae","Ammodytes","22","Species","BITS"
"Squalus acanthias","Squalidae","Squalus","22","Species","BITS"
"Osmerus eperlanus","Osmeridae","Osmerus","22","Species","BITS"
"Gasterosteus aculeatus aculeatus","Gasterosteidae","Gasterosteus","22","Subspecies","BITS"
"Gobius","Gobiidae","Gobius","22","Genus","BITS"
"Ammodytes marinus","Ammodytidae","Ammodytes","23","Species","BITS"
"Zeugopterus punctatus","Scophthalmidae","Zeugopterus","23","Species","BITS"
"Gobius","Gobiidae","Gobius","23","Genus","BITS"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","22","Species","BITS"
"Liparis","Liparidae","Liparis","23","Genus","BITS"
"Petromyzon marinus","Petromyzontidae","Petromyzon","23","Species","BITS"
"Arnoglossus laterna","Bothidae","Arnoglossus","23","Species","BITS"
"Entelurus aequoreus","Syngnathidae","Entelurus","23","Species","BITS"
"Mullus surmuletus","Mullidae","Mullus","23","Species","BITS"
"Ammodytes","Ammodytidae","Ammodytes","23","Genus","BITS"
"Myoxocephalus quadricornis","Cottidae","Myoxocephalus","23","Species","BITS"
"Dipturus","Rajidae","Dipturus","22","Genus","BITS"
"Syngnathidae","Syngnathidae",NA,"22","Family","BITS"
"Argentina","Argentinidae","Argentina","23","Genus","BITS"
"Aphia minuta","Gobiidae","Aphia","22","Species","BITS"
"Lycodes vahlii","Zoarcidae","Lycodes","22","Species","BITS"
"Hippoglossus hippoglossus","Pleuronectidae","Hippoglossus","22","Species","BITS"
"Zeugopterus punctatus","Scophthalmidae","Zeugopterus","22","Species","BITS"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","22","Species","BITS"
"Callionymus lyra","Callionymidae","Callionymus","23","Species","BITS"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","23","Species","BITS"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","22","Species","BITS"
"Alosa","Clupeidae","Alosa","22","Genus","BITS"
"Myxine glutinosa","Myxinidae","Myxine","22","Species","BITS"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","22","Species","BITS"
"Coregonus albula","Salmonidae","Coregonus","23","Species","BITS"
"Anarhichas lupus","Anarhichadidae","Anarhichas","23","Species","BITS"
"Soleidae","Soleidae",NA,"22","Family","BITS"
"Argentina","Argentinidae","Argentina","22","Genus","BITS"
"Ciliata","Lotidae","Ciliata","23","Genus","BITS"
"Mullus barbatus barbatus","Mullidae","Mullus","22","Subspecies","BITS"
"Pungitius pungitius","Gasterosteidae","Pungitius","22","Species","BITS"
"Mullus barbatus barbatus","Mullidae","Mullus","23","Subspecies","BITS"
"Entelurus aequoreus","Syngnathidae","Entelurus","22","Species","BITS"
"Sardina pilchardus","Clupeidae","Sardina","22","Species","BITS"
"Lampetra fluviatilis","Petromyzontidae","Lampetra","23","Species","BITS"
"Phycis blennoides","Phycidae","Phycis","22","Species","BITS"
"Phrynorhombus norvegicus","Scophthalmidae","Phrynorhombus","22","Species","BITS"
"Pungitius pungitius","Gasterosteidae","Pungitius","23","Species","BITS"
"Hyperoplus","Ammodytidae","Hyperoplus","23","Genus","BITS"
"Zeus faber","Zeidae","Zeus","22","Species","BITS"
"Syngnathus","Syngnathidae","Nerophis","23","Genus","BITS"
"Chelon labrosus","Mugilidae","Chelon","23","Species","BITS"
"Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus","22","Species","BITS"
"Argyropelecus olfersii","Sternoptychidae","Argyropelecus","22","Species","BITS"
"Symphodus melops","Labridae","Symphodus","22","Species","BITS"
"Leptoclinus maculatus","Stichaeidae","Leptoclinus","23","Species","BITS"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","23","Species","BITS"
"Labrus bergylta","Labridae","Labrus","22","Species","BITS"
"Lycodes vahlii","Zoarcidae","Lycodes","23","Species","BITS"
"Belone belone","Belonidae","Belone","23","Species","BITS"
"Etmopterus spinax","Etmopteridae","Etmopterus","22","Species","BITS"
"Leptoclinus maculatus","Stichaeidae","Leptoclinus","22","Species","BITS"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","23","Species","BITS"
"Mustelus","Triakidae","Mustelus","22","Genus","BITS"
"Gasterosteidae","Gasterosteidae",NA,"23","Family","BITS"
"Lipophrys pholis","Blenniidae","Lipophrys","23","Species","BITS"
"Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus","23","Species","BITS"
"Pollachius pollachius","Gadidae","Pollachius","22","Species","BITS"
"Ciliata","Lotidae","Ciliata","22","Genus","BITS"
"Atherina presbyter","Atherinidae","Atherina","23","Species","BITS"
"Cottidae","Cottidae",NA,"23","Family","BITS"
"Gobius","Gobiidae","Neogobius","23","Genus","BITS"
"Lampetra fluviatilis","Petromyzontidae","Lampetra","22","Species","BITS"
"Aphia minuta","Gobiidae","Aphia","23","Species","BITS"
"Liparis","Liparidae","Liparis","22","Genus","BITS"
"Acantholabrus palloni","Labridae","Acantholabrus","23","Species","BITS"
"Hyperoplus immaculatus","Ammodytidae","Hyperoplus","23","Species","BITS"
"Taurulus bubalis","Cottidae","Taurulus","23","Species","BITS"
"Buglossidium luteum","Soleidae","Buglossidium","23","Species","BITS"
"Gaidropsarus vulgaris","Lotidae","Gaidropsarus","23","Species","BITS"
"Micromesistius poutassou","Gadidae","Micromesistius","22","Species","BITS"
"Neogobius","Gobiidae","Neogobius","23","Genus","BITS"
"Trisopterus luscus","Gadidae","Trisopterus","22","Species","BITS"
"Raniceps raninus","Gadidae","Raniceps","22","Species","BITS"
"Triglops","Cottidae","Triglops","23","Genus","BITS"
"Symphodus melops","Labridae","Symphodus","23","Species","BITS"
"Molva molva","Lotidae","Molva","23","Species","BITS"
"Pollachius pollachius","Gadidae","Pollachius","23","Species","BITS"
"Gobiusculus flavescens","Gobiidae","Gobiusculus","23","Species","BITS"
"Labrus bergylta","Labridae","Labrus","23","Species","BITS"
"Argyropelecus olfersii","Sternoptychidae","Argyropelecus","23","Species","BITS"
"Gymnammodytes semisquamatus","Ammodytidae","Gymnammodytes","22","Species","BITS"
"Sparus aurata","Sparidae","Sparus","22","Species","BITS"
"Brama brama","Bramidae","Brama","22","Species","BITS"
"Chelon labrosus","Mugilidae","Chelon","22","Species","BITS"
"Caranx rhonchus","Carangidae","Caranx","23","Species","BITS"
"Callionymidae","Callionymidae",NA,"22","Family","BITS"
"Pegusa lascaris","Soleidae","Pegusa","23","Species","BITS"
"Callionymidae","Callionymidae",NA,"23","Family","BITS"
"Sebastes viviparus","Sebastidae","Sebastes","22","Species","BITS"
"Lycodes gracilis","Zoarcidae","Lycodes","22","Species","BITS"
"Gobius","Gobiidae","Neogobius","22","Genus","BITS"
"Taurulus bubalis","Cottidae","Taurulus","22","Species","BITS"
"Gaidropsarus macrophthalmus","Lotidae","Gaidropsarus","22","Species","BITS"
"Lycodes gracilis","Zoarcidae","Lycodes","23","Species","BITS"
"Crystallogobius linearis","Gobiidae","Crystallogobius","23","Species","BITS"
"Merlangius merlangus","Gadidae","Merlangius","24","Species","EVHOE"
"Sardina pilchardus","Clupeidae","Sardina","24","Species","EVHOE"
"Trachurus trachurus","Carangidae","Trachurus","24","Species","EVHOE"
"Merluccius merluccius","Merlucciidae","Merluccius","24","Species","EVHOE"
"Buglossidium luteum","Soleidae","Buglossidium","24","Species","EVHOE"
"Callionymus","Callionymidae","Callionymus","24","Genus","EVHOE"
"Mullus surmuletus","Mullidae","Mullus","24","Species","EVHOE"
"Echiichthys vipera","Trachinidae","Echiichthys","24","Species","EVHOE"
"Callionymus lyra","Callionymidae","Callionymus","24","Species","EVHOE"
"Arnoglossus laterna","Bothidae","Arnoglossus","24","Species","EVHOE"
"Lophius piscatorius","Lophiidae","Lophius","24","Species","EVHOE"
"Trachinus draco","Trachinidae","Trachinus","24","Species","EVHOE"
"Trisopterus luscus","Gadidae","Trisopterus","24","Species","EVHOE"
"Sparus aurata","Sparidae","Sparus","24","Species","EVHOE"
"Boops boops","Sparidae","Boops","24","Species","EVHOE"
"Chelon","Mugilidae","Chelon","24","Genus","EVHOE"
"Spondyliosoma cantharus","Sparidae","Spondyliosoma","24","Species","EVHOE"
"Trachurus mediterraneus","Carangidae","Trachurus","24","Species","EVHOE"
"Labrus mixtus","Labridae","Labrus","24","Species","EVHOE"
"Microchirus variegatus","Soleidae","Microchirus","24","Species","EVHOE"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","24","Species","EVHOE"
"Eutrigla gurnardus","Triglidae","Eutrigla","24","Species","EVHOE"
"Trisopterus minutus","Gadidae","Trisopterus","24","Species","EVHOE"
"Scomber scombrus","Scombridae","Scomber","24","Species","EVHOE"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","24","Species","EVHOE"
"Micromesistius poutassou","Gadidae","Micromesistius","24","Species","EVHOE"
"Lophius budegassa","Lophiidae","Lophius","24","Species","EVHOE"
"Capros aper","Caproidae","Capros","24","Species","EVHOE"
"Cepola macrophthalma","Cepolidae","Cepola","24","Species","EVHOE"
"Argentina","Argentinidae","Argentina","24","Genus","EVHOE"
"Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","24","Species","EVHOE"
"Lepidorhombus boscii","Scophthalmidae","Lepidorhombus","24","Species","EVHOE"
"Conger conger","Congridae","Conger","24","Species","EVHOE"
"Gadiculus argenteus","Gadidae","Gadiculus","24","Species","EVHOE"
"Gaidropsarus vulgaris","Lotidae","Gaidropsarus","24","Species","EVHOE"
"Malacocephalus laevis","Macrouridae","Malacocephalus","24","Species","EVHOE"
"Phycis blennoides","Phycidae","Phycis","24","Species","EVHOE"
"Solea solea","Soleidae","Solea","24","Species","EVHOE"
"Engraulis encrasicolus","Engraulidae","Engraulis","24","Species","EVHOE"
"Aphia minuta","Gobiidae","Aphia","24","Species","EVHOE"
"Chelidonichthys obscurus","Triglidae","Chelidonichthys","24","Species","EVHOE"
"Dicologlossa cuneata","Soleidae","Dicologlossa","24","Species","EVHOE"
"Hyperoplus immaculatus","Ammodytidae","Hyperoplus","24","Species","EVHOE"
"Pagrus pagrus","Sparidae","Pagrus","24","Species","EVHOE"
"Sarda sarda","Scombridae","Sarda","24","Species","EVHOE"
"Leucoraja naevus","Rajidae","Leucoraja","24","Species","EVHOE"
"Zeus faber","Zeidae","Zeus","24","Species","EVHOE"
"Echiodon drummondii","Carapidae","Echiodon","24","Species","EVHOE"
"Arnoglossus imperialis","Bothidae","Arnoglossus","24","Species","EVHOE"
"Torpedo marmorata","Torpedinidae","Torpedo","24","Species","EVHOE"
"Pomatoschistus","Gobiidae","Pomatoschistus","24","Genus","EVHOE"
"Sprattus sprattus","Clupeidae","Sprattus","24","Species","EVHOE"
"Atherina presbyter","Atherinidae","Atherina","24","Species","EVHOE"
"Argyrosomus regius","Sciaenidae","Argyrosomus","24","Species","EVHOE"
"Lithognathus mormyrus","Sparidae","Lithognathus","24","Species","EVHOE"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","24","Species","EVHOE"
"Squalus acanthias","Squalidae","Squalus","24","Species","EVHOE"
"Bathysolea profundicola","Soleidae","Bathysolea","24","Species","EVHOE"
"Galeus melastomus","Pentanchidae","Galeus","24","Species","EVHOE"
"Lepidion eques","Moridae","Lepidion","24","Species","EVHOE"
"Notoscopelus kroyeri","Myctophidae","Notoscopelus","24","Species","EVHOE"
"Raja clavata","Rajidae","Raja","24","Species","EVHOE"
"Trachurus picturatus","Carangidae","Trachurus","24","Species","EVHOE"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","24","Species","EVHOE"
"Alosa","Clupeidae","Alosa","24","Genus","EVHOE"
"Clupea harengus","Clupeidae","Clupea","24","Species","EVHOE"
"Hippocampus hippocampus","Syngnathidae","Hippocampus","24","Species","EVHOE"
"Leucoraja circularis","Rajidae","Leucoraja","24","Species","EVHOE"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","24","Species","EVHOE"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","24","Species","EVHOE"
"Pagellus erythrinus","Sparidae","Pagellus","24","Species","EVHOE"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","24","Species","EVHOE"
"Helicolenus dactylopterus","Sebastidae","Helicolenus","24","Species","EVHOE"
"Scorpaena loppei","Scorpaenidae","Scorpaena","24","Species","EVHOE"
"Beryx splendens","Berycidae","Beryx","24","Species","EVHOE"
"Chimaera monstrosa","Chimaeridae","Chimaera","24","Species","EVHOE"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","24","Species","EVHOE"
"Lesueurigobius friesii","Gobiidae","Lesueurigobius","24","Species","EVHOE"
"Ammodytes tobianus","Ammodytidae","Ammodytes","24","Species","EVHOE"
"Microstomus kitt","Pleuronectidae","Microstomus","24","Species","EVHOE"
"Molva molva","Lotidae","Molva","24","Species","EVHOE"
"Pegusa lascaris","Soleidae","Pegusa","24","Species","EVHOE"
"Pollachius pollachius","Gadidae","Pollachius","24","Species","EVHOE"
"Balistes capriscus","Balistidae","Balistes","24","Species","EVHOE"
"Leucoraja fullonica","Rajidae","Leucoraja","24","Species","EVHOE"
"Raja undulata","Rajidae","Raja","24","Species","EVHOE"
"Phrynorhombus norvegicus","Scophthalmidae","Phrynorhombus","24","Species","EVHOE"
"Chelon labrosus","Mugilidae","Chelon","24","Species","EVHOE"
"Dasyatis pastinaca","Dasyatidae","Dasyatis","24","Species","EVHOE"
"Symphodus bailloni","Labridae","Symphodus","24","Species","EVHOE"
"Melanogrammus aeglefinus","Gadidae","Melanogrammus","24","Species","EVHOE"
"Raja brachyura","Rajidae","Raja","24","Species","EVHOE"
"Gadus morhua","Gadidae","Gadus","24","Species","EVHOE"
"Galeorhinus galeus","Triakidae","Galeorhinus","24","Species","EVHOE"
"Molva macrophthalma","Lotidae","Molva","24","Species","EVHOE"
"Dipturus","Rajidae","Dipturus","24","Genus","EVHOE"
"Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","24","Species","EVHOE"
"Trisopterus esmarkii","Gadidae","Trisopterus","24","Species","EVHOE"
"Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus","24","Species","EVHOE"
"Limanda limanda","Pleuronectidae","Limanda","24","Species","EVHOE"
"Agonus cataphractus","Agonidae","Agonus","24","Species","EVHOE"
"Raja montagui","Rajidae","Raja","24","Species","EVHOE"
"Tetronarce nobiliana","Torpedinidae","Tetronarce","24","Species","EVHOE"
"Scophthalmus rhombus","Scophthalmidae","Scophthalmus","24","Species","EVHOE"
"Anguilla anguilla","Anguillidae","Anguilla","24","Species","EVHOE"
"Arnoglossus thori","Bothidae","Arnoglossus","24","Species","EVHOE"
"Pagellus acarne","Sparidae","Pagellus","24","Species","EVHOE"
"Umbrina canariensis","Sciaenidae","Umbrina","24","Species","EVHOE"
"Argentina","Argentinidae","Argentina","25","Genus","EVHOE"
"Merluccius merluccius","Merlucciidae","Merluccius","25","Species","EVHOE"
"Callionymus","Callionymidae","Callionymus","25","Genus","EVHOE"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","25","Species","EVHOE"
"Lophius piscatorius","Lophiidae","Lophius","25","Species","EVHOE"
"Scomber scombrus","Scombridae","Scomber","25","Species","EVHOE"
"Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","25","Species","EVHOE"
"Micromesistius poutassou","Gadidae","Micromesistius","25","Species","EVHOE"
"Bathysolea profundicola","Soleidae","Bathysolea","25","Species","EVHOE"
"Conger conger","Congridae","Conger","25","Species","EVHOE"
"Gadiculus argenteus","Gadidae","Gadiculus","25","Species","EVHOE"
"Galeus melastomus","Pentanchidae","Galeus","25","Species","EVHOE"
"Lepidorhombus boscii","Scophthalmidae","Lepidorhombus","25","Species","EVHOE"
"Malacocephalus laevis","Macrouridae","Malacocephalus","25","Species","EVHOE"
"Microchirus variegatus","Soleidae","Microchirus","25","Species","EVHOE"
"Phycis blennoides","Phycidae","Phycis","25","Species","EVHOE"
"Trachurus trachurus","Carangidae","Trachurus","25","Species","EVHOE"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","25","Species","EVHOE"
"Trisopterus luscus","Gadidae","Trisopterus","25","Species","EVHOE"
"Molva molva","Lotidae","Molva","25","Species","EVHOE"
"Lophius budegassa","Lophiidae","Lophius","25","Species","EVHOE"
"Capros aper","Caproidae","Capros","25","Species","EVHOE"
"Helicolenus dactylopterus","Sebastidae","Helicolenus","25","Species","EVHOE"
"Trigla lyra","Triglidae","Trigla","25","Species","EVHOE"
"Sardina pilchardus","Clupeidae","Sardina","25","Species","EVHOE"
"Eutrigla gurnardus","Triglidae","Eutrigla","25","Species","EVHOE"
"Arnoglossus laterna","Bothidae","Arnoglossus","25","Species","EVHOE"
"Zeus faber","Zeidae","Zeus","25","Species","EVHOE"
"Macroramphosus scolopax","Centriscidae","Macroramphosus","24","Species","EVHOE"
"Blennius ocellaris","Blenniidae","Blennius","24","Species","EVHOE"
"Belone belone","Belonidae","Belone","24","Species","EVHOE"
"Serranus hepatus","Serranidae","Serranus","24","Species","EVHOE"
"Scorpaena scrofa","Scorpaenidae","Scorpaena","24","Species","EVHOE"
"Coryphaenoides rupestris","Macrouridae","Coryphaenoides","24","Species","EVHOE"
"Lampanyctus crocodilus","Myctophidae","Lampanyctus","24","Species","EVHOE"
"Pagellus","Sparidae","Pagellus","24","Genus","EVHOE"
"Callionymus lyra","Callionymidae","Callionymus","25","Species","EVHOE"
"Trachinus draco","Trachinidae","Trachinus","25","Species","EVHOE"
"Balistes capriscus","Balistidae","Balistes","25","Species","EVHOE"
"Boops boops","Sparidae","Boops","25","Species","EVHOE"
"Chelon","Mugilidae","Chelon","25","Genus","EVHOE"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","25","Species","EVHOE"
"Engraulis encrasicolus","Engraulidae","Engraulis","25","Species","EVHOE"
"Dicologlossa cuneata","Soleidae","Dicologlossa","25","Species","EVHOE"
"Macrourus berglax","Macrouridae","Macrourus","25","Species","EVHOE"
"Xiphias gladius","Xiphiidae","Xiphias","25","Species","EVHOE"
"Acantholabrus palloni","Labridae","Acantholabrus","25","Species","EVHOE"
"Solea solea","Soleidae","Solea","25","Species","EVHOE"
"Serranus cabrilla","Serranidae","Serranus","24","Species","EVHOE"
"Labrus bergylta","Labridae","Labrus","24","Species","EVHOE"
"Syngnathus","Syngnathidae","Syngnathus","24","Genus","EVHOE"
"Chelidonichthys lastoviza","Triglidae","Chelidonichthys","24","Species","EVHOE"
"Mustelus","Triakidae","Mustelus","24","Genus","EVHOE"
"Gobius","Gobiidae","Gobius","24","Genus","EVHOE"
"Pagellus bogaraveo","Sparidae","Pagellus","24","Species","EVHOE"
"Acantholabrus palloni","Labridae","Acantholabrus","24","Species","EVHOE"
"Etmopterus spinax","Etmopteridae","Etmopterus","24","Species","EVHOE"
"Dicentrarchus punctatus","Moronidae","Dicentrarchus","24","Species","EVHOE"
"Gymnammodytes semisquamatus","Ammodytidae","Gymnammodytes","24","Species","EVHOE"
"Deania calcea","Centrophoridae","Deania","24","Species","EVHOE"
"Gaidropsarus macrophthalmus","Lotidae","Gaidropsarus","24","Species","EVHOE"
"Myliobatis aquila","Myliobatidae","Myliobatis","24","Species","EVHOE"
"Solea senegalensis","Soleidae","Solea","24","Species","EVHOE"
"Deania calcea","Centrophoridae","Deania","25","Species","EVHOE"
"Argyropelecus olfersii","Sternoptychidae","Argyropelecus","25","Species","EVHOE"
"Etmopterus spinax","Etmopteridae","Etmopterus","25","Species","EVHOE"
"Gaidropsarus biscayensis","Lotidae","Gaidropsarus","25","Species","EVHOE"
"Notoscopelus kroyeri","Myctophidae","Notoscopelus","25","Species","EVHOE"
"Xenodermichthys copei","Alepocephalidae","Xenodermichthys","25","Species","EVHOE"
"Hexanchus griseus","Hexanchidae","Hexanchus","24","Species","EVHOE"
"Molva macrophthalma","Lotidae","Molva","25","Species","EVHOE"
"Argyropelecus hemigymnus","Sternoptychidae","Argyropelecus","25","Species","EVHOE"
"Argyropelecus olfersii","Sternoptychidae","Argyropelecus","24","Species","EVHOE"
"Beryx decadactylus","Berycidae","Beryx","24","Species","EVHOE"
"Mora moro","Moridae","Mora","24","Species","EVHOE"
"Xenodermichthys copei","Alepocephalidae","Xenodermichthys","24","Species","EVHOE"
"Polymetme corythaeola","Phosichthyidae","Polymetme","24","Species","EVHOE"
"Gaidropsarus biscayensis","Lotidae","Gaidropsarus","24","Species","EVHOE"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","24","Species","EVHOE"
"Ciliata","Lotidae","Ciliata","24","Genus","EVHOE"
"Macrourus berglax","Macrouridae","Macrourus","24","Species","EVHOE"
"Hymenocephalus italicus","Macrouridae","Hymenocephalus","24","Species","EVHOE"
"Synaphobranchus kaupii","Synaphobranchidae","Synaphobranchus","24","Species","EVHOE"
"Rajella bathyphila","Rajidae","Rajella","24","Species","EVHOE"
"Maurolicus muelleri","Sternoptychidae","Maurolicus","24","Species","EVHOE"
"Gaidropsarus mediterraneus","Lotidae","Gaidropsarus","24","Species","EVHOE"
"Raja microocellata","Rajidae","Raja","24","Species","EVHOE"
"Lepidopus caudatus","Trichiuridae","Lepidopus","24","Species","EVHOE"
"Myctophidae","Myctophidae",NA,"24","Family","EVHOE"
"Diplodus sargus","Sparidae","Diplodus","24","Subspecies","EVHOE"
"Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus","24","Species","EVHOE"
"Zeugopterus punctatus","Scophthalmidae","Zeugopterus","24","Species","EVHOE"
"Centrolabrus exoletus","Labridae","Centrolabrus","24","Species","EVHOE"
"Raniceps raninus","Gadidae","Raniceps","24","Species","EVHOE"
"Trisopterus minutus","Gadidae","Trisopterus","25","Species","EVHOE"
"Myctophidae","Myctophidae",NA,"25","Family","EVHOE"
"Pollachius virens","Gadidae","Pollachius","24","Species","EVHOE"
"Lamna nasus","Lamnidae","Lamna","24","Species","EVHOE"
"Dipturus oxyrinchus","Rajidae","Dipturus","24","Species","EVHOE"
"Dalatias licha","Dalatiidae","Dalatias","24","Species","EVHOE"
"Polyprion americanus","Polyprionidae","Polyprion","24","Species","EVHOE"
"Scorpaena porcus","Scorpaenidae","Scorpaena","24","Species","EVHOE"
"Lesueurigobius friesii","Gobiidae","Lesueurigobius","25","Species","EVHOE"
"Squalus acanthias","Squalidae","Squalus","25","Species","EVHOE"
"Cepola macrophthalma","Cepolidae","Cepola","25","Species","EVHOE"
"Labrus mixtus","Labridae","Labrus","25","Species","EVHOE"
"Raja clavata","Rajidae","Raja","25","Species","EVHOE"
"Echiodon drummondii","Carapidae","Echiodon","25","Species","EVHOE"
"Ophidion barbatum","Ophidiidae","Ophidion","25","Species","EVHOE"
"Diaphus","Myctophidae","Diaphus","25","Genus","EVHOE"
"Maurolicus muelleri","Sternoptychidae","Maurolicus","25","Species","EVHOE"
"Nerophis lumbriciformis","Syngnathidae","Nerophis","24","Species","EVHOE"
"Halargyreus johnsonii","Moridae","Halargyreus","24","Species","EVHOE"
"Argyropelecus","Sternoptychidae","Argyropelecus","24","Genus","EVHOE"
"Centroscyllium fabricii","Etmopteridae","Centroscyllium","24","Species","EVHOE"
"Hoplostethus mediterraneus mediterraneus","Trachichthyidae","Hoplostethus","24","Subspecies","EVHOE"
"Nezumia sclerorhynchus","Macrouridae","Nezumia","24","Species","EVHOE"
