"taxa","family","genus","rank"
"Lampanyctus intricarius","Myctophidae","Lampanyctus","Species"
"Ichthyococcus ovatus","Phosichthyidae","Ichthyococcus","Species"
"Neoraja caerulea","Rajidae","Neoraja","Species"
"Diaphus dumerilii","Myctophidae","Diaphus","Species"
"Auxis rochei","Scombridae","Auxis","Species"
"Facciolella oxyrhynchus","Nettastomatidae","Facciolella","Species"
"Umbrina cirrosa","Sciaenidae","Umbrina","Species"
"Benthosema","Myctophidae","Benthosema","Genus"
"Congridae","Congridae",NA,"Family"
"Protomyctophum arcticum","Myctophidae","Protomyctophum","Species"
"Gonostomatidae","Gonostomatidae",NA,"Family"
"Epigonus","Epigonidae","Epigonus","Genus"
"Synaphobranchidae","Synaphobranchidae",NA,"Family"
"Microchirus theophila","Soleidae","Microchirus","Species"
"Cyclothone","Gonostomatidae","Cyclothone","Genus"
"Remora brachyptera","Echeneidae","Remora","Species"
"Rajella","Rajidae","Rajella","Genus"
"Antigonia capros","Caproidae","Antigonia","Species"
"Breviraja","Rajidae","Breviraja","Genus"
"Cubiceps gracilis","Nomeidae","Cubiceps","Species"
"Lobianchia dofleini","Myctophidae","Lobianchia","Species"
"Epigonus constanciae","Epigonidae","Epigonus","Species"
"Dysomma brevirostre","Synaphobranchidae","Dysomma","Species"
"Lesueurigobius suerii","Gobiidae","Lesueurigobius","Species"
"Benthodesmus simonyi","Trichiuridae","Benthodesmus","Species"
"Ophichthus rufus","Ophichthidae","Ophichthus","Species"
"Pomatomus saltatrix","Pomatomidae","Pomatomus","Species"
"Pomadasys incisus","Haemulidae","Pomadasys","Species"
"Zenion hololepis","Zeniontidae","Zenion","Species"
"Callionymus risso","Callionymidae","Callionymus","Species"
"Halobatrachus didactylus","Batrachoididae","Halobatrachus","Species"
"Stromateus fiatola","Stromateidae","Stromateus","Species"
"Sphyraena sphyraena","Sphyraenidae","Sphyraena","Species"
"Bathytoshia centroura","Dasyatidae","Bathytoshia","Species"
"Aetomylaeus bovinus","Myliobatidae","Aetomylaeus","Species"
"Microchirus ocellatus","Soleidae","Microchirus","Species"
"Sardinella aurita","Dorosomatidae","Sardinella","Species"
"Lobianchia","Myctophidae","Lobianchia","Genus"
"Plectorhinchus mediterraneus","Haemulidae","Plectorhinchus","Species"
"Notoscopelus bolini","Myctophidae","Notoscopelus","Species"
"Ruvettus pretiosus","Gempylidae","Ruvettus","Species"
"Notoscopelus elongatus","Myctophidae","Notoscopelus","Species"
"Valenciennellus tripunctulatus","Sternoptychidae","Valenciennellus","Species"
"Setarches guentheri","Setarchidae","Setarches","Species"
