"taxa","family","genus","rank"
"Zeugopterus punctatus","Scophthalmidae","Zeugopterus","Species"
"Argentinidae","Argentinidae",NA,"Family"
"Ammodytes marinus","Ammodytidae","Ammodytes","Species"
"Salmo trutta","Salmonidae","Salmo","Subspecies"
"Zoarces viviparus","Zoarcidae","Zoarces","Species"
"Syngnathus","Syngnathidae","Syngnathus","Genus"
"Gobius auratus","Gobiidae","Gobius","Species"
"Anguilla anguilla","Anguillidae","Anguilla","Species"
"Petromyzon marinus","Petromyzontidae","Petromyzon","Species"
"Belone belone","Belonidae","Belone","Species"
"Conger conger","Congridae","Conger","Species"
"Helicolenus dactylopterus","Sebastidae","Helicolenus","Species"
"Leucoraja fullonica","Rajidae","Leucoraja","Species"
"Ciliata","Lotidae","Ciliata","Genus"
"Echiodon drummondii","Carapidae","Echiodon","Species"
"Scyliorhinus","Scyliorhinidae","Scyliorhinus","Genus"
"Lycenchelys sarsii","Zoarcidae","Lycenchelys","Species"
"Anguillidae","Anguillidae",NA,"Family"
"Entelurus aequoreus","Syngnathidae","Entelurus","Species"
"Raja undulata","Rajidae","Raja","Species"
"Molva dypterygia","Lotidae","Molva","Species"
"Pholis gunnellus","Pholidae","Pholis","Species"
"Raniceps raninus","Gadidae","Raniceps","Species"
"Gobius","Gobiidae","Gobius","Genus"
"Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus","Species"
"Crystallogobius linearis","Gobiidae","Crystallogobius","Species"
"Osmerus eperlanus","Osmeridae","Osmerus","Species"
"Galeorhinus galeus","Triakidae","Galeorhinus","Species"
"Mullus surmuletus","Mullidae","Mullus","Species"
"Scomberesox saurus","Scomberesocidae","Scomberesox","Subspecies"
"Gadiculus","Gadidae","Gadiculus","Genus"
"Diplecogaster bimaculata","Gobiesocidae","Diplecogaster","Subspecies"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","Species"
"Coryphaenoides rupestris","Macrouridae","Coryphaenoides","Species"
"Gaidropsarus mediterraneus","Lotidae","Gaidropsarus","Species"
"Salmo salar","Salmonidae","Salmo","Species"
"Soleidae","Soleidae",NA,"Family"
"Leptoclinus maculatus","Stichaeidae","Leptoclinus","Species"
"Capros aper","Caproidae","Capros","Species"
"Leucoraja circularis","Rajidae","Leucoraja","Species"
"Spondyliosoma cantharus","Sparidae","Spondyliosoma","Species"
"Buglossidium","Soleidae","Buglossidium","Genus"
"Arnoglossus","Bothidae","Arnoglossus","Genus"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","Species"
"Gymnammodytes semisquamatus","Ammodytidae","Gymnammodytes","Species"
"Lampetra fluviatilis","Petromyzontidae","Lampetra","Species"
"Spinachia spinachia","Gasterosteidae","Spinachia","Species"
"Scorpaena scrofa","Scorpaenidae","Scorpaena","Species"
"Microchirus","Soleidae","Microchirus","Genus"
"Zeugopterus","Scophthalmidae","Zeugopterus","Genus"
"Mugilidae","Mugilidae",NA,"Family"
"Lepadogaster","Gobiesocidae","Lepadogaster","Genus"
"Syngnathus","Syngnathidae","Nerophis","Genus"
"Caproidae","Caproidae",NA,"Family"
"Chelon labrosus","Mugilidae","Chelon","Species"
"Labrus bergylta","Labridae","Labrus","Species"
"Lophius budegassa","Lophiidae","Lophius","Species"
"Dicentrarchus","Moronidae","Dicentrarchus","Genus"
"Chelon auratus","Mugilidae","Chelon","Species"
"Arnoglossus imperialis","Bothidae","Arnoglossus","Species"
"Trachyrincus murrayi","Macrouridae","Trachyrincus","Species"
"Hyperoplus immaculatus","Ammodytidae","Hyperoplus","Species"
"Blennius","Blenniidae","Blennius","Genus"
"Pegusa lascaris","Soleidae","Pegusa","Species"
"Lesueurigobius","Gobiidae","Lesueurigobius","Genus"
