haul_id_removed
FR-CGFS 2016 4 FR 35HT GOV U0466 66
FR-CGFS 2016 4 FR 35HT GOV U0471 71
FR-CGFS 2017 4 FR 35HT GOV V0400 8
FR-CGFS 2017 4 FR 35HT GOV V0443 42
FR-CGFS 2017 4 FR 35HT GOV V0444 43
FR-CGFS 2017 4 FR 35HT GOV V0462 57
FR-CGFS 2017 4 FR 35HT GOV V0465 60
FR-CGFS 2018 4 FR 35HT GOV W0452 2
FR-CGFS 2018 4 FR 35HT GOV W0454 4
FR-CGFS 2018 4 FR 35HT GOV W0465 15
FR-CGFS 2018 4 FR 35HT GOV W0466 16
FR-CGFS 2018 4 FR 35HT GOV W0502 51
FR-CGFS 2019 4 FR 35HT GOV X0361 50
FR-CGFS 2019 4 FR 35HT GOV X0368 57
FR-CGFS 2019 4 FR 35HT GOV X0417 98
FR-CGFS 2019 4 FR 35HT GOV X0418 99
FR-CGFS 2019 4 FR 35HT GOV X0433 113
FR-CGFS 2020 4 FR 35HT GOV Y0248 51
