haul_id_removed
IE-IGFS 2003 4 IE 45CE GOV 100 131
IE-IGFS 2003 4 IE 45CE GOV 101 129
IE-IGFS 2003 4 IE 45CE GOV 102 128
IE-IGFS 2003 4 IE 45CE GOV 103 127
IE-IGFS 2003 4 IE 45CE GOV 104 122
IE-IGFS 2003 4 IE 45CE GOV 106 143
IE-IGFS 2003 4 IE 45CE GOV 107 125
IE-IGFS 2003 4 IE 45CE GOV 12 142
IE-IGFS 2003 4 IE 45CE GOV 15 126
IE-IGFS 2003 4 IE 45CE GOV 16 123
IE-IGFS 2003 4 IE 45CE GOV 17 121
IE-IGFS 2003 4 IE 45CE GOV 18 133
IE-IGFS 2003 4 IE 45CE GOV 19 134
IE-IGFS 2003 4 IE 45CE GOV 20 132
IE-IGFS 2003 4 IE 45CE GOV 22 112
IE-IGFS 2003 4 IE 45CE GOV 24A 113
IE-IGFS 2003 4 IE 45CE GOV 27 115
IE-IGFS 2003 4 IE 45CE GOV 29 118
IE-IGFS 2003 4 IE 45CE GOV 3 140
IE-IGFS 2003 4 IE 45CE GOV 30 120
IE-IGFS 2003 4 IE 45CE GOV 30A 119
IE-IGFS 2003 4 IE 45CE GOV 32 114
IE-IGFS 2003 4 IE 45CE GOV 38 116
IE-IGFS 2003 4 IE 45CE GOV 40 106
IE-IGFS 2003 4 IE 45CE GOV 4B 139
IE-IGFS 2003 4 IE 45CE GOV 5 138
IE-IGFS 2003 4 IE 45CE GOV 6 136
IE-IGFS 2003 4 IE 45CE GOV 71 137
IE-IGFS 2003 4 IE 45CE GOV 8 135
IE-IGFS 2003 4 IE 45CE GOV 9 144
IE-IGFS 2003 4 IE 45CE GOV D243 130
IE-IGFS 2003 4 IE 45CE GOV FG25 110
IE-IGFS 2003 4 IE 45CE GOV FG26 111
IE-IGFS 2003 4 IE 45CE GOV MB21 117
IE-IGFS 2003 4 IE 45CE GOV MB22 141
IE-IGFS 2004 4 IE 45CE GOV 101 140
IE-IGFS 2004 4 IE 45CE GOV 102 138
IE-IGFS 2004 4 IE 45CE GOV 103 147
IE-IGFS 2004 4 IE 45CE GOV 104 146
IE-IGFS 2004 4 IE 45CE GOV 106 131
IE-IGFS 2004 4 IE 45CE GOV 107 135
IE-IGFS 2004 4 IE 45CE GOV 12 130
IE-IGFS 2004 4 IE 45CE GOV 15 134
IE-IGFS 2004 4 IE 45CE GOV 16 137
IE-IGFS 2004 4 IE 45CE GOV 17 145
IE-IGFS 2004 4 IE 45CE GOV 19 126
IE-IGFS 2004 4 IE 45CE GOV 20 127
IE-IGFS 2004 4 IE 45CE GOV 24 120
IE-IGFS 2004 4 IE 45CE GOV 27 118
IE-IGFS 2004 4 IE 45CE GOV 29 122
IE-IGFS 2004 4 IE 45CE GOV 3 144
IE-IGFS 2004 4 IE 45CE GOV 30 125
IE-IGFS 2004 4 IE 45CE GOV 30A 124
IE-IGFS 2004 4 IE 45CE GOV 32 119
IE-IGFS 2004 4 IE 45CE GOV 36 117
IE-IGFS 2004 4 IE 45CE GOV 4B 128
IE-IGFS 2004 4 IE 45CE GOV 6 129
IE-IGFS 2004 4 IE 45CE GOV 69 103
IE-IGFS 2004 4 IE 45CE GOV 7a 121
IE-IGFS 2004 4 IE 45CE GOV D243 148
IE-IGFS 2004 4 IE 45CE GOV D76 151
IE-IGFS 2004 4 IE 45CE GOV FG25 102
IE-IGFS 2004 4 IE 45CE GOV FG28 51
IE-IGFS 2004 4 IE 45CE GOV FG38 104
IE-IGFS 2004 4 IE 45CE GOV FG42 139
IE-IGFS 2004 4 IE 45CE GOV FG43 141
IE-IGFS 2004 4 IE 45CE GOV FG44 153
IE-IGFS 2004 4 IE 45CE GOV FG45 156
IE-IGFS 2004 4 IE 45CE GOV MB22 133
IE-IGFS 2004 4 IE 45CE GOV MB33 123
IE-IGFS 2004 4 IE 45CE GOV MB34 132
IE-IGFS 2004 4 IE 45CE GOV MB37 142
IE-IGFS 2004 4 IE 45CE GOV MB38 143
IE-IGFS 2004 4 IE 45CE GOV MB39 150
IE-IGFS 2004 4 IE 45CE GOV MB40 152
IE-IGFS 2004 4 IE 45CE GOV SC558 155
IE-IGFS 2004 4 IE 45CE GOV SC559 154
IE-IGFS 2005 4 IE 45CE GOV 40 26
IE-IGFS 2005 4 IE 45CE GOV FG28 88
IE-IGFS 2005 4 IE 45CE GOV FG38 24
IE-IGFS 2005 4 IE 45CE GOV FG45 138
IE-IGFS 2005 4 IE 45CE GOV FG72 89
IE-IGFS 2005 4 IE 45CE GOV FG98 137
IE-IGFS 2005 4 IE 45CE GOV PO214 14
IE-IGFS 2006 4 IE 45CE GOV 40 149
IE-IGFS 2006 4 IE 45CE GOV 69 152
IE-IGFS 2006 4 IE 45CE GOV FG106 71
IE-IGFS 2006 4 IE 45CE GOV FG108 31
IE-IGFS 2006 4 IE 45CE GOV FG109 32
IE-IGFS 2006 4 IE 45CE GOV FG125 102
IE-IGFS 2006 4 IE 45CE GOV FG126 103
IE-IGFS 2006 4 IE 45CE GOV FG28 104
IE-IGFS 2006 4 IE 45CE GOV FG72 105
IE-IGFS 2007 4 IE 45CE GOV 40 138
IE-IGFS 2007 4 IE 45CE GOV FG102 37
IE-IGFS 2007 4 IE 45CE GOV FG108 54
IE-IGFS 2007 4 IE 45CE GOV FG109 55
IE-IGFS 2007 4 IE 45CE GOV FG125 99
IE-IGFS 2007 4 IE 45CE GOV FG151 53
IE-IGFS 2007 4 IE 45CE GOV FG157 97
IE-IGFS 2007 4 IE 45CE GOV FG158 98
