haul_id_removed
Rémy-Martin -3-21-1995-08-11 -18:26:00
Gadus Atlantica -3-75-1980-02-05 -00:18:00
Gadus Atlantica -3-77-1980-02-05 -06:10:00
Gadus Atlantica -3-78-1980-02-05 -08:40:00
Gadus Atlantica -3-81-1980-02-05 -17:45:00
Gadus Atlantica -3-82-1980-02-05 -20:40:00
Gadus Atlantica -3-87-1980-02-06 -13:19:00
Gadus Atlantica -3-91-1980-02-07 -00:20:00
Gadus Atlantica -3-92-1980-02-07 -04:00:00
Gadus Atlantica -3-93-1980-02-07 -07:18:00
Gadus Atlantica -3-94-1980-02-07 -11:30:00
Gadus Atlantica -3-95-1980-02-07 -15:17:00
Gadus Atlantica -3-96-1980-02-07 -17:48:00
Gadus Atlantica -3-97-1980-02-07 -21:30:00
Gadus Atlantica -3-98-1980-02-08 -00:44:00
Gadus Atlantica -3-99-1980-02-08 -02:52:00
Gadus Atlantica -3-100-1980-02-08 -05:20:00
Gadus Atlantica -3-101-1980-02-08 -08:50:00
Gadus Atlantica -3-102-1980-02-08 -11:55:00
Gadus Atlantica -3-103-1980-02-08 -14:43:00
Gadus Atlantica -3-104-1980-02-08 -17:50:00
Gadus Atlantica -3-105-1980-02-08 -21:15:00
Gadus Atlantica -3-106-1980-02-08 -23:08:00
Gadus Atlantica -3-107-1980-02-09 -01:55:00
Gadus Atlantica -3-108-1980-02-09 -05:22:00
Gadus Atlantica -3-109-1980-02-09 -08:23:00
Gadus Atlantica -3-110-1980-02-09 -11:20:00
Gadus Atlantica -3-111-1980-02-09 -14:33:00
Gadus Atlantica -3-113-1980-02-09 -17:57:00
Gadus Atlantica -3-114-1980-02-09 -19:25:00
Gadus Atlantica -3-115-1980-02-09 -21:03:00
Gadus Atlantica -3-116-1980-02-10 -00:33:00
Gadus Atlantica -3-117-1980-02-10 -03:50:00
Gadus Atlantica -3-118-1980-02-10 -05:31:00
Gadus Atlantica -3-120-1980-02-10 -10:07:00
Gadus Atlantica -3-121-1980-02-10 -13:04:00
Gadus Atlantica -3-122-1980-02-10 -16:06:00
Gadus Atlantica -3-123-1980-02-10 -18:05:00
Gadus Atlantica -3-124-1980-02-10 -21:20:00
Gadus Atlantica -3-125-1980-02-10 -23:05:00
Gadus Atlantica -3-126-1980-02-11 -02:18:00
Gadus Atlantica -3-127-1980-02-11 -03:50:00
Gadus Atlantica -3-128-1980-02-11 -06:15:00
Gadus Atlantica -3-129-1980-02-11 -09:03:00
Gadus Atlantica -3-130-1980-02-11 -13:14:00
Gadus Atlantica -3-131-1980-02-11 -16:17:00
Gadus Atlantica -3-132-1980-02-11 -19:25:00
Gadus Atlantica -3-133-1980-02-11 -23:25:00
Gadus Atlantica -4-1-1981-01-29 -17:00:00
Gadus Atlantica -4-2-1981-01-29 -18:25:00
Gadus Atlantica -4-3-1981-01-29 -22:15:00
Gadus Atlantica -4-4-1981-01-30 -00:00:00
Gadus Atlantica -4-5-1981-01-30 -02:02:00
Gadus Atlantica -4-6-1981-01-30 -04:00:00
Gadus Atlantica -4-7-1981-01-30 -06:50:00
Gadus Atlantica -4-8-1981-01-30 -09:05:00
Gadus Atlantica -4-9-1981-01-30 -11:35:00
Gadus Atlantica -4-10-1981-01-30 -13:31:00
Gadus Atlantica -4-12-1981-01-30 -19:20:00
Gadus Atlantica -4-13-1981-01-30 -20:50:00
Gadus Atlantica -4-14-1981-01-30 -23:20:00
Gadus Atlantica -4-15-1981-01-31 -03:43:00
