"Survey","HaulID","Area.swept","Area.doors"
"NS-IBTS","NS-IBTS 1970 1 GB-SCT 747S GOV 2 2",0.124163825927112,0.490515421734564
"NS-IBTS","NS-IBTS 1970 1 GB-SCT 747S GOV 10 10",0.132743802645456,0.549478984641862
"NS-IBTS","NS-IBTS 1970 1 GB-SCT 747S GOV 11 11",0.129897238133281,0.529916742086533
"NS-IBTS","NS-IBTS 1970 1 GB-SCT 747S GOV 12 12",0.131379892678326,0.54010588331691
"NS-IBTS","NS-IBTS 1970 1 GB-SCT 747S GOV 1 1",0.052352700196732,0.208626901235392
"NS-IBTS","NS-IBTS 1970 1 GB-SCT 747S GOV 15 15",0.113694497508481,0.479028934341236
"NS-IBTS","NS-IBTS 1970 1 GB-SCT 747S GOV 13 13",0.132743802645456,0.549478984641862
"NS-IBTS","NS-IBTS 1970 1 GB-SCT 747S GOV 14 14",0.137598964289049,0.582844766204532
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60013 18",0.0566238252614744,0.226689465644337
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60012 17",0.121204918026191,0.497582938152623
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60014 19",0.0605334051771414,0.258797071173526
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60008 13",0.118920766531851,0.50284603823446
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60010 15",0.116906580991792,0.489004094404438
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60009 14",0.118920766531851,0.50284603823446
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60011 16",0.116906580991792,0.489004094404438
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60007 12",0.118920766531851,0.50284603823446
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60006 11",0.127105752633021,0.532894745616382
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60005 10",0.117328387045866,0.491902842107429
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60015 20",0.129461307528043,0.575283047390569
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60004 9",0.118142678247443,0.497498837535527
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 5 5",0.1126597832008,0.411457008262317
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 21 21",0.124163825927112,0.490515421734564
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 22 22",0.127270544774608,0.511865504399469
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 10 10",0.135974899986598,0.571683824770004
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 17 17",0.125360090907676,0.49873642835857
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 26 26",0.129897238133281,0.529916742086533
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 1 1",0.132743802645456,0.549478984641862
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 41 41",0.1289882344663,0.523669860928176
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 25 25",0.129897238133281,0.529916742086533
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 27 27",0.125360090907676,0.49873642835857
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 40 40",0.132743802645456,0.549478984641862
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 2 2",0.134179580192647,0.559345976418622
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 28 28",0.1289882344663,0.523669860928176
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 9 9",0.135662234737693,0.569535117649
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 39 39",0.136433397010178,0.574834721209483
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 33 33",0.139081618834094,0.593033907434909
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 11 11",0.128027992939332,0.517070861473951
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 12 12",0.128027992939332,0.517070861473951
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 18 18",0.125360090907676,0.49873642835857
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 13 13",0.128027992939332,0.517070861473951
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 14 14",0.1289882344663,0.523669860928176
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 20 20",0.122877193997074,0.481673392759925
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 16 16",0.128027992939332,0.517070861473951
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 15 15",0.128027992939332,0.517070861473951
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60003 8",0.117740267324674,0.494733377612012
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60016 21",0.129461307528043,0.575283047390569
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60002 7",0.120726914155859,0.515258297911153
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60018 23",0.0691565115242552,0.307576874900982
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60001 6",0.122673819263779,0.528637875219317
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60019 24",0.071867931267207,0.320970293756332
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60020 25",0.13027559872962,0.580879042818667
"NS-IBTS","NS-IBTS 1971 1 NO 58G3 GOV 60022 27",0.134721760842627,0.606194008109683
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 8 8",0.131175821041925,0.538703456344728
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 6 6",0.129897238133281,0.529916742086533
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 4 4",0.122877193997074,0.481673392759925
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 30 30",0.132172583416054,0.545553435415755
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 38 38",0.118737445054117,0.453224090945788
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 31 31",0.138016285832327,0.58571269532339
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 3 3",0.127270544774608,0.511865504399469
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 23 23",0.140445528801224,0.602407008759861
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 37 37",0.1289882344663,0.523669860928176
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 24 24",0.140445528801224,0.602407008759861
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 32 32",0.135974899986598,0.571683824770004
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 35 35",0.0429960781554335,0.174556620309392
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 36 36",0.107490195388584,0.43639155077348
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 34 34",0.132743802645456,0.549478984641862
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 7 7",0.132743802645456,0.549478984641862
"NS-IBTS","NS-IBTS 1971 1 GB-SCT 74EX GOV 29 29",0.126746202543059,0.508262104626979
"NS-IBTS","NS-IBTS 1972 1 NO 58J2 GOV 60006 14",0.139610510892496,0.645030694812429
"NS-IBTS","NS-IBTS 1972 1 NO 58J2 GOV 60007 15",0.135704582916248,0.61818826417431
"NS-IBTS","NS-IBTS 1972 1 NO 58J2 GOV 60004 12",0.114558343469653,0.49906685856974
"NS-IBTS","NS-IBTS 1972 1 NO 58J2 GOV 60003 11",0.137105658812708,0.62781677826831
"NS-IBTS","NS-IBTS 1972 1 NO 58J2 GOV 60002 10",0.13541038936575,0.61616649879065
"NS-IBTS","NS-IBTS 1972 1 NO 58J2 GOV 60001 9",0.148284900905648,0.683682775769612
